"","genus_species","species","genus","family","order","class","redlistCategory","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5"
"114","Peroryctes raffrayana","raffrayana","Peroryctes","Peramelidae","Peramelemorphia","Mammalia","Least Concern",1,47,1,1,0,31,1,0.032,1,0
"115","Petauroides volans","volans","Petauroides","Pseudocheiridae","Diprotodontia","Mammalia","Vulnerable",113,3321,47,111,1,39,34,0.872,79,4
"116","Petaurus abidi","abidi","Petaurus","Petauridae","Diprotodontia","Mammalia","Critically Endangered",0,0,0,0,0,NA,0,0,0,0
"117","Petaurus australis","australis","Petaurus","Petauridae","Diprotodontia","Mammalia","Near Threatened",78,2043,30,76,1,38,29,0.763,51,2
"118","Petaurus biacensis","biacensis","Petaurus","Petauridae","Diprotodontia","Mammalia","Least Concern",0,0,0,0,0,NA,0,0,0,0
"119","Petaurus breviceps","breviceps","Petaurus","Petauridae","Diprotodontia","Mammalia","Least Concern",213,5057,97,193,16,78,36,0.462,118,6
"120","Petaurus gracilis","gracilis","Petaurus","Petauridae","Diprotodontia","Mammalia","Endangered",21,386,12,18,2,28,12,0.429,14,0
"121","Petaurus norfolcensis","norfolcensis","Petaurus","Petauridae","Diprotodontia","Mammalia","Least Concern",96,2292,32,90,3,49,28,0.571,65,4
"122","Petrogale assimilis","assimilis","Petrogale","Macropodidae","Diprotodontia","Mammalia","Least Concern",33,547,17,32,0,34,14,0.412,21,1
"123","Petrogale brachyotis","brachyotis","Petrogale","Macropodidae","Diprotodontia","Mammalia","Least Concern",19,288,13,19,0,37,11,0.297,13,0
"124","Petrogale burbidgei","burbidgei","Petrogale","Macropodidae","Diprotodontia","Mammalia","Near Threatened",3,70,3,3,0,9,3,0.333,1,0
"125","Petrogale coenensis","coenensis","Petrogale","Macropodidae","Diprotodontia","Mammalia","Near Threatened",3,64,2,3,0,29,3,0.103,2,0
"126","Petrogale concinna","concinna","Petrogale","Macropodidae","Diprotodontia","Mammalia","Endangered",5,83,3,5,0,20,5,0.25,3,0
"127","Petrogale godmani","godmani","Petrogale","Macropodidae","Diprotodontia","Mammalia","Near Threatened",6,141,5,6,0,32,5,0.156,4,1
"128","Petrogale herberti","herberti","Petrogale","Macropodidae","Diprotodontia","Mammalia","Least Concern",5,125,4,5,0,29,5,0.172,5,0
"129","Petrogale inornata","inornata","Petrogale","Macropodidae","Diprotodontia","Mammalia","Least Concern",10,204,7,10,0,47,8,0.17,8,1
"130","Petrogale lateralis","lateralis","Petrogale","Macropodidae","Diprotodontia","Mammalia","Vulnerable",59,1615,23,48,3,33,16,0.485,27,5
"131","Petrogale mareeba","mareeba","Petrogale","Macropodidae","Diprotodontia","Mammalia","Near Threatened",7,101,6,7,0,29,5,0.172,4,0
"132","Petrogale penicillata","penicillata","Petrogale","Macropodidae","Diprotodontia","Mammalia","Vulnerable",79,1489,35,68,2,42,22,0.524,46,3
"133","Petrogale persephone","persephone","Petrogale","Macropodidae","Diprotodontia","Mammalia","Endangered",12,495,10,12,0,32,9,0.281,9,0
"134","Petrogale purpureicollis","purpureicollis","Petrogale","Macropodidae","Diprotodontia","Mammalia","Near Threatened",7,103,4,6,0,20,5,0.25,3,0
"135","Petrogale rothschildi","rothschildi","Petrogale","Macropodidae","Diprotodontia","Mammalia","Least Concern",5,48,5,5,0,20,3,0.15,2,1
"136","Petrogale sharmani","sharmani","Petrogale","Macropodidae","Diprotodontia","Mammalia","Vulnerable",5,72,3,5,0,29,3,0.103,2,1
"137","Petrogale xanthopus","xanthopus","Petrogale","Macropodidae","Diprotodontia","Mammalia","Near Threatened",51,704,29,47,0,125,15,0.12,23,1
"138","Petropseudes dahli","dahli","Petropseudes","Pseudocheiridae","Diprotodontia","Mammalia","Least Concern",4,44,3,4,0,24,2,0.083,2,1
"139","Phalanger alexandrae","alexandrae","Phalanger","Phalangeridae","Diprotodontia","Mammalia","Endangered",0,0,0,0,0,NA,0,0,0,0
"140","Phalanger carmelitae","carmelitae","Phalanger","Phalangeridae","Diprotodontia","Mammalia","Least Concern",3,31,2,3,0,36,2,0.056,2,0
"141","Phalanger gymnotis","gymnotis","Phalanger","Phalangeridae","Diprotodontia","Mammalia","Least Concern",5,43,4,5,0,24,4,0.167,2,0
"142","Phalanger intercastellanus","intercastellanus","Phalanger","Phalangeridae","Diprotodontia","Mammalia","Least Concern",1,1,1,1,0,28,1,0.036,0,0
"143","Phalanger lullulae","lullulae","Phalanger","Phalangeridae","Diprotodontia","Mammalia","Endangered",0,0,0,0,0,NA,0,0,0,0
"144","Phalanger matabiru","matabiru","Phalanger","Phalangeridae","Diprotodontia","Mammalia","Vulnerable",0,0,0,0,0,NA,0,0,0,0
"145","Phalanger matanim","matanim","Phalanger","Phalangeridae","Diprotodontia","Mammalia","Critically Endangered",0,0,0,0,0,NA,0,0,0,0
"146","Phalanger mimicus","mimicus","Phalanger","Phalangeridae","Diprotodontia","Mammalia","Least Concern",0,0,0,0,0,NA,0,0,0,0
"147","Phalanger orientalis","orientalis","Phalanger","Phalangeridae","Diprotodontia","Mammalia","Least Concern",15,215,11,14,0,38,8,0.211,7,1
"148","Phalanger ornatus","ornatus","Phalanger","Phalangeridae","Diprotodontia","Mammalia","Least Concern",2,23,2,1,0,27,2,0.074,1,0
"149","Phalanger rothschildi","rothschildi","Phalanger","Phalangeridae","Diprotodontia","Mammalia","Least Concern",0,0,0,0,0,NA,0,0,0,0
"150","Phalanger sericeus","sericeus","Phalanger","Phalangeridae","Diprotodontia","Mammalia","Least Concern",1,15,1,1,0,19,1,0.053,1,0
"151","Phalanger vestitus","vestitus","Phalanger","Phalangeridae","Diprotodontia","Mammalia","Least Concern",4,17,3,3,0,28,1,0.036,1,1
"152","Phascogale calura","calura","Phascogale","Dasyuridae","Dasyuromorphia","Mammalia","Near Threatened",40,438,26,38,2,47,11,0.234,15,5
"153","Phascogale pirata","pirata","Phascogale","Dasyuridae","Dasyuromorphia","Mammalia","Vulnerable",2,30,2,2,0,10,1,0.1,1,0
"154","Phascogale tapoatafa","tapoatafa","Phascogale","Dasyuridae","Dasyuromorphia","Mammalia","Near Threatened",64,1061,27,62,2,57,22,0.386,37,2
"155","Phascolarctos cinereus","cinereus","Phascolarctos","Phascolarctidae","Diprotodontia","Mammalia","Vulnerable",824,15149,242,758,34,140,53,0.379,450,16
"156","Phascolosorex doriae","doriae","Phascolosorex","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",1,26,1,1,0,24,1,0.042,1,0
"157","Phascolosorex dorsalis","dorsalis","Phascolosorex","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",5,26,3,5,0,30,3,0.1,1,1
"158","Planigale gilesi","gilesi","Planigale","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",17,279,9,17,0,39,9,0.231,9,0
"159","Planigale ingrami","ingrami","Planigale","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",5,62,3,4,1,43,4,0.093,3,0
"160","Planigale maculata","maculata","Planigale","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",19,381,11,19,0,43,10,0.233,12,1
"161","Planigale novaeguineae","novaeguineae","Planigale","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",1,2,1,1,0,49,1,0.02,0,0
"162","Planigale tenuirostris","tenuirostris","Planigale","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",10,105,8,10,0,40,5,0.125,3,0
"163","Potorous gilbertii","gilbertii","Potorous","Potoroidae","Diprotodontia","Mammalia","Critically Endangered",18,182,13,15,1,24,9,0.375,9,2
"164","Potorous longipes","longipes","Potorous","Potoroidae","Diprotodontia","Mammalia","Vulnerable",15,209,10,13,1,41,9,0.22,9,1
"165","Potorous tridactylus","tridactylus","Potorous","Potoroidae","Diprotodontia","Mammalia","Near Threatened",163,3596,83,156,3,71,30,0.423,91,3
"166","Pseudantechinus bilarni","bilarni","Pseudantechinus","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",1,6,1,1,0,3,1,0.333,0,1
"167","Pseudantechinus macdonnellensis","macdonnellensis","Pseudantechinus","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",14,243,6,13,0,38,9,0.237,9,1
"168","Pseudantechinus mimulus","mimulus","Pseudantechinus","Dasyuridae","Dasyuromorphia","Mammalia","Near Threatened",2,6,1,2,0,10,1,0.1,0,0
"169","Pseudantechinus ningbing","ningbing","Pseudantechinus","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",2,27,2,2,0,24,1,0.042,1,1
"170","Pseudantechinus roryi","roryi","Pseudantechinus","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",1,2,1,1,0,4,1,0.25,0,1
"171","Pseudantechinus woolleyae","woolleyae","Pseudantechinus","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",1,1,1,1,0,4,1,0.25,0,1
"172","Pseudocheirus occidentalis","occidentalis","Pseudocheirus","Pseudocheiridae","Diprotodontia","Mammalia","Critically Endangered",34,363,18,31,3,46,11,0.239,14,5
"173","Pseudocheirus peregrinus","peregrinus","Pseudocheirus","Pseudocheiridae","Diprotodontia","Mammalia","Least Concern",158,4353,62,154,4,60,39,0.65,106,4
"174","Pseudochirops albertisii","albertisii","Pseudochirops","Pseudocheiridae","Diprotodontia","Mammalia","Near Threatened",0,0,0,0,0,NA,0,0,0,0
"175","Pseudochirops archeri","archeri","Pseudochirops","Pseudocheiridae","Diprotodontia","Mammalia","Near Threatened",12,239,8,12,0,29,8,0.276,6,1
"176","Pseudochirops corinnae","corinnae","Pseudochirops","Pseudocheiridae","Diprotodontia","Mammalia","Near Threatened",0,0,0,0,0,NA,0,0,0,0
"177","Pseudochirops coronatus","coronatus","Pseudochirops","Pseudocheiridae","Diprotodontia","Mammalia","Vulnerable",0,0,0,0,0,NA,0,0,0,0
"178","Pseudochirops cupreus","cupreus","Pseudochirops","Pseudocheiridae","Diprotodontia","Mammalia","Least Concern",2,43,2,2,0,29,2,0.069,2,0
"179","Pseudochirulus canescens","canescens","Pseudochirulus","Pseudocheiridae","Diprotodontia","Mammalia","Least Concern",0,0,0,0,0,NA,0,0,0,0
"180","Pseudochirulus caroli","caroli","Pseudochirulus","Pseudocheiridae","Diprotodontia","Mammalia","Least Concern",1,29,1,1,0,11,1,0.091,1,0
"181","Pseudochirulus cinereus","cinereus","Pseudochirulus","Pseudocheiridae","Diprotodontia","Mammalia","Near Threatened",0,0,0,0,0,NA,0,0,0,0
"182","Pseudochirulus forbesi","forbesi","Pseudochirulus","Pseudocheiridae","Diprotodontia","Mammalia","Least Concern",2,37,2,2,0,15,2,0.133,1,0
"183","Pseudochirulus herbertensis","herbertensis","Pseudochirulus","Pseudocheiridae","Diprotodontia","Mammalia","Least Concern",4,126,3,4,0,22,4,0.182,1,0
"184","Pseudochirulus larvatus","larvatus","Pseudochirulus","Pseudocheiridae","Diprotodontia","Mammalia","Least Concern",0,0,0,0,0,NA,0,0,0,0
"185","Pseudochirulus mayeri","mayeri","Pseudochirulus","Pseudocheiridae","Diprotodontia","Mammalia","Least Concern",1,29,1,1,0,11,1,0.091,1,0
"186","Pseudochirulus schlegeli","schlegeli","Pseudochirulus","Pseudocheiridae","Diprotodontia","Mammalia","Vulnerable",0,0,0,0,0,NA,0,0,0,0
"187","Rhynchomeles prattorum","prattorum","Rhynchomeles","Peramelidae","Peramelemorphia","Mammalia","Endangered",1,5,1,1,0,31,1,0.032,0,0
"188","Sarcophilus harrisii","harrisii","Sarcophilus","Dasyuridae","Dasyuromorphia","Mammalia","Endangered",365,9302,171,307,32,57,47,0.825,189,17
"189","Setonix brachyurus","brachyurus","Setonix","Macropodidae","Diprotodontia","Mammalia","Vulnerable",249,3559,110,240,5,67,29,0.433,124,3
"190","Sminthopsis bindi","bindi","Sminthopsis","Dasyuridae","Dasyuromorphia","Mammalia","Near Threatened",1,7,1,1,0,9,1,0.111,0,0
"191","Sminthopsis butleri","butleri","Sminthopsis","Dasyuridae","Dasyuromorphia","Mammalia","Vulnerable",3,72,3,3,0,22,3,0.136,3,0
"192","Sminthopsis crassicaudata","crassicaudata","Sminthopsis","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",213,4125,108,200,3,59,35,0.593,120,6
"193","Sminthopsis dolichura","dolichura","Sminthopsis","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",8,63,7,8,0,26,5,0.192,2,0
"194","Sminthopsis douglasi","douglasi","Sminthopsis","Dasyuridae","Dasyuromorphia","Mammalia","Near Threatened",18,266,15,15,1,29,7,0.241,6,1
"195","Sminthopsis gilberti","gilberti","Sminthopsis","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",2,22,2,2,0,23,2,0.087,1,0
"196","Sminthopsis granulipes","granulipes","Sminthopsis","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",1,2,1,1,0,6,1,0.167,0,0
"197","Sminthopsis griseoventer","griseoventer","Sminthopsis","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",8,59,5,8,0,23,5,0.217,2,0
"198","Sminthopsis hirtipes","hirtipes","Sminthopsis","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",11,476,8,11,0,33,7,0.212,7,1
"199","Sminthopsis leucopus","leucopus","Sminthopsis","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",23,279,14,23,0,42,11,0.262,11,1
"200","Sminthopsis longicaudata","longicaudata","Sminthopsis","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",3,18,3,3,0,35,2,0.057,1,0
"201","Sminthopsis macroura","macroura","Sminthopsis","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",117,2333,57,107,2,40,26,0.65,81,2
"202","Sminthopsis murina","murina","Sminthopsis","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",69,1719,42,62,1,48,22,0.458,45,1
"203","Sminthopsis ooldea","ooldea","Sminthopsis","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",9,75,8,9,0,33,5,0.152,2,0
"204","Sminthopsis psammophila","psammophila","Sminthopsis","Dasyuridae","Dasyuromorphia","Mammalia","Vulnerable",7,54,6,6,0,12,4,0.333,1,2
"205","Sminthopsis virginiae","virginiae","Sminthopsis","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",14,364,9,14,0,34,7,0.206,7,1
"206","Sminthopsis youngsoni","youngsoni","Sminthopsis","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",16,467,11,16,0,28,9,0.321,9,2
"207","Spilocuscus kraemeri","kraemeri","Spilocuscus","Phalangeridae","Diprotodontia","Mammalia","Near Threatened",4,19,3,3,1,25,3,0.12,1,0
"208","Spilocuscus maculatus","maculatus","Spilocuscus","Phalangeridae","Diprotodontia","Mammalia","Least Concern",11,117,9,8,1,30,4,0.133,2,2
"209","Spilocuscus papuensis","papuensis","Spilocuscus","Phalangeridae","Diprotodontia","Mammalia","Vulnerable",0,0,0,0,0,NA,0,0,0,0
"210","Spilocuscus rufoniger","rufoniger","Spilocuscus","Phalangeridae","Diprotodontia","Mammalia","Critically Endangered",0,0,0,0,0,NA,0,0,0,0
"211","Spilocuscus wilsoni","wilsoni","Spilocuscus","Phalangeridae","Diprotodontia","Mammalia","Critically Endangered",0,0,0,0,0,NA,0,0,0,0
"212","Strigocuscus celebensis","celebensis","Strigocuscus","Phalangeridae","Diprotodontia","Mammalia","Vulnerable",6,103,6,6,0,27,5,0.185,5,1
"213","Strigocuscus pelengensis","pelengensis","Strigocuscus","Phalangeridae","Diprotodontia","Mammalia","Least Concern",1,3,1,1,0,2,1,0.5,0,1
"214","Tarsipes rostratus","rostratus","Tarsipes","Tarsipedidae","Diprotodontia","Mammalia","Least Concern",52,1068,28,49,2,37,18,0.486,38,1
"215","Thylogale billardierii","billardierii","Thylogale","Macropodidae","Diprotodontia","Mammalia","Least Concern",91,1823,50,87,2,61,23,0.377,57,2
"216","Thylogale browni","browni","Thylogale","Macropodidae","Diprotodontia","Mammalia","Vulnerable",3,6,3,3,0,16,2,0.125,0,0
"217","Thylogale brunii","brunii","Thylogale","Macropodidae","Diprotodontia","Mammalia","Vulnerable",4,154,4,4,0,30,4,0.133,3,0
"218","Thylogale calabyi","calabyi","Thylogale","Macropodidae","Diprotodontia","Mammalia","Endangered",0,0,0,0,0,NA,0,0,0,0
"219","Thylogale lanatus","lanatus","Thylogale","Macropodidae","Diprotodontia","Mammalia","Endangered",0,0,0,0,0,NA,0,0,0,0
"220","Thylogale stigmatica","stigmatica","Thylogale","Macropodidae","Diprotodontia","Mammalia","Least Concern",42,521,29,38,1,42,14,0.333,18,2
"221","Thylogale thetis","thetis","Thylogale","Macropodidae","Diprotodontia","Mammalia","Least Concern",45,779,19,44,0,44,18,0.409,27,1
"222","Trichosurus caninus","caninus","Trichosurus","Phalangeridae","Diprotodontia","Mammalia","Least Concern",77,2169,33,74,2,49,28,0.571,57,2
"223","Trichosurus cunninghami","cunninghami","Trichosurus","Phalangeridae","Diprotodontia","Mammalia","Least Concern",34,546,20,32,1,19,15,0.789,20,1
"224","Trichosurus vulpecula","vulpecula","Trichosurus","Phalangeridae","Diprotodontia","Mammalia","Least Concern",1534,27071,363,0,0,106,61,0.575,859,10
"225","Vombatus ursinus","ursinus","Vombatus","Vombatidae","Diprotodontia","Mammalia","Least Concern",180,2877,82,167,10,48,31,0.646,83,8
"226","Wallabia bicolor","bicolor","Wallabia","Macropodidae","Diprotodontia","Mammalia","Least Concern",197,3540,82,192,4,53,31,0.585,101,7
"227","Wyulda squamicaudata","squamicaudata","Wyulda","Phalangeridae","Diprotodontia","Mammalia","Near Threatened",8,102,6,8,0,37,6,0.162,5,0
